date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-06-19,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-06-22,uncertain,0.5157,0.0,0.0,0.0,0.0,1000000.0,False,0.581,0.0,0.24,0,0.3567
2026-06-23,higher,0.4555,0.0792,1330.2289,1308.1905,-1391.34,998608.66,False,0.54,0.089,0.0,0,0.1567
2026-06-24,uncertain,0.5035,0.0,0.0,0.0,0.0,998608.66,False,0.51,0.089,0.2742,0,0.12
2026-06-25,higher,0.2323,0.0,0.0,0.0,0.0,998608.66,False,0.33,0.7762,0.0,0,0.28
2026-06-26,range_bound,0.1753,0.0,0.0,0.0,0.0,998608.66,True,0.168,0.8252,0.05,0,0.2848
2026-06-29,range_bound,0.1749,0.0,0.0,0.0,0.0,998608.66,False,0.22,0.8252,0.0,0,0.3709
2026-06-30,lower,0.4111,0.0734,1305.5931,1295.1939,510.53,999119.19,True,0.59,0.3522,0.05,0,0.35
2026-07-01,lower,0.3226,0.0619,1297.6011,1309.308,-619.81,998499.38,False,0.49,0.5979,0.0,0,0.2933
2026-07-02,higher,0.2409,0.0513,1311.31,1302.1965,-407.22,998092.16,False,0.252,0.6051,0.0,0,0.2633
