bin,bin_midpoint,count,avg_confidence,avg_accuracy,calibration_gap
0,0.0500,585104,0.0000,0.1708,0.1708
1,0.1500,0,0.1500,0.1500,0.0000
2,0.2500,0,0.2500,0.2500,0.0000
3,0.3500,0,0.3500,0.3500,0.0000
4,0.4500,0,0.4500,0.4500,0.0000
5,0.5500,27307,0.5470,0.6806,0.1336
6,0.6500,24675,0.6411,0.6242,0.0169
7,0.7500,2734,0.7100,0.8153,0.1053
8,0.8500,0,0.8500,0.8500,0.0000
9,0.9500,0,0.9500,0.9500,0.0000
