bin_index,bin_min,bin_max,sample_count,mean_confidence,empirical_accuracy,calibration_gap
0,0.0,0.1,259,0.0,0.0425,0.0425
1,0.1,0.2,0,0.15,0.0,0.0
2,0.2,0.3,0,0.25,0.0,0.0
3,0.3,0.4,0,0.35,0.0,0.0
4,0.4,0.5,0,0.45,0.0,0.0
5,0.5,0.6,19,0.5,0.2105,0.2895
6,0.6,0.7,9,0.6745,0.0,0.6745
7,0.7,0.8,10,0.7595,0.6,0.1595
8,0.8,0.9,24,0.8558,1.0,0.1442
9,0.9,1.0,71,0.9537,1.0,0.0463
