date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-06-12,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-06-15,higher,0.5205,0.0877,1316.6153,1305.693,-815.24,999184.76,False,0.55,0.0,0.175,0,0.07
2026-06-16,lower,0.4242,0.0751,1312.0866,1330.1288,-1106.88,998077.88,False,0.55,0.2633,0.0,0,0.1567
2026-06-17,higher,0.5166,0.0872,1334.333,1331.3673,-280.47,997797.4,False,0.746,0.089,0.0,0,0.2675
2026-06-18,range_bound,0.4244,0.0752,0.0,0.0,0.0,997797.4,False,0.45,0.087,0.0,0,0.1567
2026-06-19,range_bound,0.4485,0.0783,0.0,0.0,0.0,997797.4,False,0.52,0.089,0.0,0,0.1567
2026-06-22,uncertain,0.4282,0.0,0.0,0.0,0.0,997797.4,False,0.581,0.2009,0.0,0,0.35
2026-06-23,higher,0.5015,0.0852,1330.2289,1308.1905,-1493.45,996303.96,False,0.5,0.2162,0.4085,0,0.12
2026-06-24,lower,0.3916,0.0709,1304.3943,1314.9136,-640.3,995663.66,False,0.55,0.426,0.0,0,0.1567
2026-06-25,higher,0.3832,0.0698,1319.318,1316.7819,-203.09,995460.57,True,0.49,0.3391,0.0,0,0.205
