date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-04-30,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-05-01,higher,0.494,0.0842,1425.6393,1422.7909,-252.43,999747.57,False,0.55,0.0,0.175,0,0.335
2026-05-04,range_bound,0.4222,0.0749,0.0,0.0,0.0,999747.57,False,0.45,0.098,0.0,0,0.1567
2026-05-05,higher,0.4324,0.0762,1454.7339,1455.4071,-40.92,999706.64,True,0.55,0.2221,0.0,0,0.1567
2026-05-06,higher,0.4678,0.0808,1457.7231,1429.8511,-1625.24,998081.41,False,0.651,0.2221,0.0,0,0.1567
2026-05-07,uncertain,0.2861,0.0,0.0,0.0,0.0,998081.41,False,0.21,0.3586,0.0,0,0.1567
2026-05-08,uncertain,0.3619,0.0,0.0,0.0,0.0,998081.41,False,0.47,0.3611,0.0,0,0.3033
2026-05-11,range_bound,0.3074,0.06,0.0,0.0,0.0,998081.41,False,0.3,0.3755,0.0,0,0.225
2026-05-12,uncertain,0.3986,0.0,0.0,0.0,0.0,998081.41,False,0.37,0.4069,0.3122,0,0.12
2026-05-13,lower,0.4077,0.073,1353.7793,1353.8989,-79.3,998002.11,True,0.623,0.4069,0.0023,0,0.294
2026-05-14,range_bound,0.4276,0.0756,0.0,0.0,0.0,998002.11,False,0.44,0.0,0.0,0,0.264
2026-05-15,lower,0.5148,0.0869,1349.2051,1331.5798,1046.22,999048.33,True,0.689,0.0,0.0,0,0.264
2026-05-18,lower,0.5015,0.0852,1326.5327,1331.0816,-377.01,998671.32,False,0.672,0.0,0.0,0,0.3375
2026-05-19,range_bound,0.3308,0.063,0.0,0.0,0.0,998671.32,False,0.38,0.3549,0.0,0,0.3125
2026-05-20,lower,0.4378,0.0769,1311.3182,1354.7956,-2623.07,996048.26,False,0.705,0.2948,0.0,0,0.5
2026-05-21,higher,0.3681,0.0679,1362.2686,1342.0453,-1071.64,994976.61,False,0.49,0.4144,0.0,0,0.205
2026-05-22,lower,0.3048,0.0596,1342.443,1349.6144,-376.08,994600.53,False,0.49,0.6841,0.0,0,0.2988
2026-05-25,range_bound,0.1407,0.0,0.0,0.0,0.0,994600.53,True,0.168,0.8959,0.0,0,0.3895
2026-05-26,range_bound,0.1777,0.0,0.0,0.0,0.0,994600.53,True,0.168,0.7166,0.0,0,0.3782
2026-05-27,higher,0.3432,0.0646,1348.1198,1342.9403,-311.11,994289.42,False,0.55,0.5775,0.0,0,0.3383
2026-05-28,range_bound,0.3065,0.0598,0.0,0.0,0.0,994289.42,False,0.48,0.6313,0.0,0,0.3522
2026-05-29,range_bound,0.4086,0.0731,0.0,0.0,0.0,994289.42,False,0.49,0.2359,0.0,0,0.1567
2026-06-01,lower,0.511,0.0864,1325.041,1315.2389,549.6,994839.02,True,0.73,0.089,0.0,0,0.2667
2026-06-02,range_bound,0.4294,0.0758,0.0,0.0,0.0,994839.02,False,0.49,0.089,0.0,0,0.2425
2026-06-03,lower,0.4958,0.0845,1307.6391,1308.4634,-137.06,994701.96,True,0.697,0.089,0.0,0,0.3033
2026-06-04,range_bound,0.4518,0.0787,0.0,0.0,0.0,994701.96,False,0.56,0.089,0.0,0,0.264
2026-06-05,range_bound,0.4577,0.0795,0.0,0.0,0.0,994701.96,False,0.56,0.089,0.0,0,0.205
2026-06-08,lower,0.5133,0.0867,1275.723,1264.5633,668.17,995370.13,True,0.681,0.0,0.0,0,0.25
2026-06-09,lower,0.486,0.0832,1267.731,1270.4692,-261.69,995108.45,False,0.59,0.0,0.0,0,0.205
2026-06-10,range_bound,0.4652,0.0805,0.0,0.0,0.0,995108.45,False,0.615,0.0,0.0,0,0.5
2026-06-11,lower,0.5406,0.0903,1256.742,1264.263,-627.62,994480.83,False,0.746,0.0,0.0,0,0.205
2026-06-12,range_bound,0.4383,0.077,0.0,0.0,0.0,994480.83,False,0.44,0.0,0.0,0,0.1567
2026-06-15,higher,0.4555,0.0792,1316.6153,1305.693,-732.16,993748.67,False,0.59,0.1765,0.0,0,0.1567
2026-06-16,uncertain,0.4404,0.0,0.0,0.0,0.0,993748.67,False,0.55,0.0853,0.0,0,0.35
2026-06-17,higher,0.5285,0.0887,1334.333,1331.3673,-284.06,993464.6,False,0.779,0.087,0.0,0,0.2675
