date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-05-25,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-05-26,uncertain,0.432,0.0,0.0,0.0,0.0,1000000.0,False,0.26,0.0,0.24,0,0.07
2026-05-27,higher,0.2758,0.0,0.0,0.0,0.0,1000000.0,False,0.55,1.0,0.1264,0,0.4201
2026-05-28,range_bound,0.2259,0.0,0.0,0.0,0.0,1000000.0,True,0.44,1.0,0.05,0,0.381
2026-05-29,range_bound,0.1468,0.0,0.0,0.0,0.0,1000000.0,False,0.22,1.0,0.0,0,0.3019
2026-06-01,lower,0.2725,0.0,0.0,0.0,0.0,1000000.0,False,0.56,1.0,0.05,0,0.335
2026-06-02,range_bound,0.1618,0.0,0.0,0.0,0.0,1000000.0,False,0.262,1.0,0.05,0,0.3989
2026-06-03,lower,0.256,0.0,0.0,0.0,0.0,1000000.0,False,0.53,1.0,0.05,0,0.3954
2026-06-04,uncertain,0.4392,0.0,0.0,0.0,0.0,1000000.0,False,0.5,0.0969,0.05,0,0.264
2026-06-05,uncertain,0.1586,0.0,0.0,0.0,0.0,1000000.0,False,0.26,1.0,0.0,0,0.3235
2026-06-08,uncertain,0.3255,0.0,0.0,0.0,0.0,1000000.0,False,0.37,0.4177,0.0,0,0.205
2026-06-09,lower,0.3726,0.0684,1267.731,1270.4692,-216.14,999783.86,False,0.5,0.4094,0.0,0,0.205
2026-06-10,range_bound,0.3831,0.0698,0.0,0.0,0.0,999783.86,False,0.53,0.3601,0.0,0,0.3033
2026-06-11,lower,0.5054,0.0857,1256.742,1264.263,-598.44,999185.42,False,0.689,0.0764,0.0,0,0.205
2026-06-12,range_bound,0.3104,0.0604,0.0,0.0,0.0,999185.42,False,0.3,0.3945,0.0,0,0.1567
2026-06-15,higher,0.4597,0.0798,1316.6153,1305.693,-741.2,998444.22,False,0.55,0.0856,0.0,0,0.1567
2026-06-16,uncertain,0.2372,0.0,0.0,0.0,0.0,998444.22,False,0.27,0.6524,0.0,0,0.2679
2026-06-17,higher,0.3492,0.0654,1334.333,1331.3673,-210.43,998233.79,False,0.55,0.5803,0.0,0,0.272
2026-06-18,range_bound,0.2356,0.0506,0.0,0.0,0.0,998233.79,False,0.22,0.5874,0.0,0,0.2397
2026-06-19,range_bound,0.3562,0.0663,0.0,0.0,0.0,998233.79,False,0.42,0.3758,0.0,0,0.1567
2026-06-22,lower,0.4952,0.0844,1315.3833,1327.8265,-881.25,997352.54,False,0.713,0.0968,0.0,0,0.35
2026-06-23,higher,0.4651,0.0805,1330.2289,1308.1905,-1410.43,995942.11,False,0.57,0.0939,0.0,0,0.1567
2026-06-24,lower,0.4919,0.0839,1304.3943,1314.9136,-757.43,995184.68,False,0.713,0.2101,0.0,0,0.1567
2026-06-25,higher,0.4495,0.0784,1319.318,1316.7819,-228.01,994956.68,True,0.54,0.0952,0.0,0,0.205
2026-06-26,range_bound,0.3986,0.0718,0.0,0.0,0.0,994956.68,False,0.4,0.0945,0.0,0,0.225
2026-06-29,range_bound,0.4166,0.0742,0.0,0.0,0.0,994956.68,False,0.45,0.0922,0.0,0,0.225
2026-06-30,lower,0.4834,0.0828,1305.5931,1295.1939,573.8,995530.48,True,0.672,0.0838,0.0,0,0.35
2026-07-01,lower,0.4847,0.083,1297.6011,1309.308,-828.1,994702.38,False,0.705,0.0885,0.0,0,0.444
2026-07-02,higher,0.454,0.079,1311.31,1302.1965,-624.72,994077.66,False,0.54,0.0752,0.0,0,0.2
2026-07-03,range_bound,0.4464,0.078,0.0,0.0,0.0,994077.66,False,0.546,0.0866,0.0,0,0.274
