date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-04-29,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-04-30,higher,0.5152,0.087,1403.9179,1422.7909,1082.55,1001082.55,True,0.55,0.0,0.292,0,0.3567
2026-05-01,higher,0.5898,0.0967,1425.6393,1422.7909,-290.22,1000792.33,False,0.804,0.098,0.274,0,0.2675
2026-05-04,range_bound,0.4464,0.078,0.0,0.0,0.0,1000792.33,False,0.45,0.0967,0.1412,0,0.2
2026-05-05,higher,0.4831,0.0828,1454.7339,1455.4071,-44.51,1000747.81,True,0.623,0.0962,0.0,0,0.1567
2026-05-06,higher,0.4891,0.0836,1457.7231,1429.8511,-1683.31,999064.5,False,0.64,0.0962,0.0,0,0.1567
2026-05-07,lower,0.4496,0.0784,1430.746,1431.0197,-93.31,998971.2,True,0.54,0.0946,0.0,0,0.205
2026-05-08,uncertain,0.4401,0.0,0.0,0.0,0.0,998971.2,False,0.537,0.0878,0.0,0,0.3033
2026-05-11,range_bound,0.4139,0.0738,0.0,0.0,0.0,998971.2,False,0.44,0.0878,0.0,0,0.225
2026-05-12,lower,0.4857,0.0831,1384.208,1359.0801,1423.97,1000395.16,True,0.623,0.0837,0.0,0,0.1567
2026-05-13,lower,0.5248,0.0882,1353.7793,1353.8989,-96.03,1000299.13,True,0.771,0.0783,0.0,0,0.294
2026-05-14,range_bound,0.4066,0.0729,0.0,0.0,0.0,1000299.13,False,0.44,0.0806,0.0,0,0.3125
2026-05-15,lower,0.5172,0.0872,1349.2051,1331.5798,1052.25,1001351.38,True,0.746,0.0875,0.0,0,0.264
2026-05-18,lower,0.5054,0.0857,1326.5327,1331.0816,-380.09,1000971.29,False,0.73,0.0818,0.0,0,0.3375
2026-05-19,range_bound,0.4345,0.0765,0.0,0.0,0.0,1000971.29,False,0.52,0.0815,0.0,0,0.3125
2026-05-20,lower,0.5146,0.0869,1311.3182,1354.7956,-2970.99,998000.29,False,0.746,0.081,0.0,0,0.3033
2026-05-21,higher,0.4722,0.0814,1362.2686,1342.0453,-1287.23,996713.07,False,0.59,0.069,0.0,0,0.205
2026-05-22,uncertain,0.4622,0.0,0.0,0.0,0.0,996713.07,False,0.55,0.049,0.0,0,0.205
2026-05-25,range_bound,0.415,0.074,0.0,0.0,0.0,996713.07,False,0.4,0.0,0.0,0,0.25
2026-05-26,range_bound,0.415,0.074,0.0,0.0,0.0,996713.07,False,0.4,0.0,0.0,0,0.25
2026-05-27,higher,0.5073,0.086,1348.1198,1342.9403,-415.05,996298.02,False,0.697,0.0,0.0,0,0.366
2026-05-28,range_bound,0.4886,0.0835,0.0,0.0,0.0,996298.02,False,0.634,0.0,0.0,0,0.3333
2026-05-29,range_bound,0.4558,0.0793,0.0,0.0,0.0,996298.02,False,0.49,0.0,0.0,0,0.1567
2026-06-01,lower,0.5288,0.0887,1325.041,1315.2389,565.37,996863.39,True,0.73,0.0,0.0,0,0.2667
2026-06-02,range_bound,0.4415,0.0774,0.0,0.0,0.0,996863.39,False,0.49,0.0,0.0,0,0.3
2026-06-03,lower,0.5021,0.0853,1307.6391,1308.4634,-138.64,996724.75,True,0.664,0.0,0.0,0,0.3033
2026-06-04,range_bound,0.4647,0.0804,0.0,0.0,0.0,996724.75,False,0.56,0.0,0.0,0,0.3125
2026-06-05,range_bound,0.4721,0.0814,0.0,0.0,0.0,996724.75,False,0.563,0.0,0.0,0,0.25
2026-06-08,lower,0.5133,0.0867,1275.723,1264.5633,669.53,997394.28,True,0.681,0.0,0.0,0,0.25
2026-06-09,uncertain,0.416,0.0,0.0,0.0,0.0,997394.28,False,0.39,0.0,0.0,0,0.205
2026-06-10,range_bound,0.468,0.0808,0.0,0.0,0.0,997394.28,False,0.615,0.0,0.0138,0,0.5
2026-06-11,lower,0.5277,0.0886,1256.742,1264.263,-617.22,996777.06,False,0.722,0.0,0.0,0,0.25
2026-06-12,range_bound,0.4383,0.077,0.0,0.0,0.0,996777.06,False,0.44,0.0,0.0,0,0.1567
2026-06-15,higher,0.4814,0.0826,1316.6153,1305.693,-765.36,996011.7,False,0.563,0.0,0.0,0,0.1567
2026-06-16,lower,0.4803,0.0824,1312.0866,1330.1288,-1210.62,994801.09,False,0.615,0.0,0.0,0,0.35
2026-06-17,higher,0.5443,0.0908,1334.333,1331.3673,-291.09,994509.99,False,0.836,0.0,0.0,0,0.4833
2026-06-18,range_bound,0.4298,0.0759,0.0,0.0,0.0,994509.99,False,0.45,0.0,0.0,0,0.2767
2026-06-19,range_bound,0.4803,0.0824,0.0,0.0,0.0,994509.99,False,0.56,0.0,0.0,0,0.1567
2026-06-22,uncertain,0.4929,0.0,0.0,0.0,0.0,994509.99,False,0.651,0.0,0.0,0,0.35
2026-06-23,higher,0.4795,0.0823,1330.2289,1308.1905,-1437.86,993072.13,False,0.57,0.0,0.0,0,0.2
